timestamp,equity,total_trades,overall_winrate_pct
2025-11-01 15:36:36,64.5121,16,50.0
2025-11-01 15:44:49,69.8101,17,47.1
2025-11-01 15:51:43,67.7465,18,50.0
2025-11-01 15:52:28,68.1108,19,52.6
2025-11-01 15:54:23,67.5797,20,50.0
2025-11-01 15:55:37,65.4157,21,47.6
2025-11-01 15:57:04,61.1347,22,45.5
2025-11-01 16:00:53,61.6011,23,47.8
2025-11-01 16:10:17,59.2165,24,50.0
2025-11-01 16:15:59,59.8615,25,48.0
2025-11-01 16:20:02,60.1616,26,46.2
2025-11-01 16:21:19,59.1801,27,44.4
2025-11-01 16:26:59,54.8914,28,46.4
2025-11-01 16:34:41,53.4624,29,44.8
2025-11-01 16:43:02,55.8165,30,43.3
